question_id,date,model,probability,reason,stage,p_one_third,p_two_thirds,p_full,median_raw,median_extremized,advocate_proposed,spread,low_lens,high_lens,responding_lenses,abstained_lenses,config_version,cause,grounded
Q0001,2026-08-21,aggregate,12.0,median of responding lenses,aggregate,10.0,11.0,12.0,12.0,4.8,4.0,22.0,reference_class,actor_incentive,7,0,3,creation,n/a
Q0002,2026-08-21,aggregate,38.0,median of responding lenses,aggregate,30.0,35.0,38.0,38.0,32.4,48.0,42.0,literalist,reference_class,7,0,3,creation,n/a
Q0003,2026-08-22,aggregate,72.0,median of responding lenses,aggregate,65.0,70.0,72.0,72.0,80.5,35.0,19.0,literalist,mechanism_calendar,7,0,3,creation,n/a
Q0004,2026-08-22,aggregate,12.0,median of responding lenses,aggregate,5.0,9.0,13.5,12.0,4.8,2.0,64.0,reference_class,actor_incentive,7,0,3,creation,n/a
Q0003,2026-08-24,aggregate,75.0,median of responding lenses,aggregate,66.0,69.0,75.0,75.0,83.9,45.0,27.0,telltale,mechanism_calendar,7,0,3,trigger,n/a
Q0005,2026-08-24,aggregate,50.0,median of responding lenses,aggregate,,,50.5,50.0,50.0,20.0,50.0,mechanism_calendar,analogy,7,0,3,creation,n/a
Q0006,2026-08-24,aggregate,22.0,median of responding lenses,aggregate,13.1,20.6,26.0,22.0,13.0,12.0,80.0,literalist,mechanism_calendar,7,0,3,creation,n/a
Q0007,2026-08-25,aggregate,32.0,median of responding lenses,aggregate,22.5,27.5,32.5,32.0,24.4,12.0,43.0,telltale,blocker,7,0,3,creation,n/a
Q0008,2026-08-25,aggregate,45.0,median of responding lenses,aggregate,35.0,40.0,45.0,45.0,42.5,55.0,50.0,literalist,mechanism_calendar,7,0,3,creation,n/a
Q0009,2026-08-25,aggregate,58.0,median of responding lenses,aggregate,35.0,50.0,63.0,58.0,61.9,15.0,65.0,literalist,reference_class,7,0,3,creation,n/a
Q0010,2026-08-25,aggregate,32.0,median of responding lenses,aggregate,25.0,30.0,32.0,32.0,24.4,8.0,45.0,mechanism_calendar,actor_incentive,7,0,3,creation,n/a
Q0009,2026-08-26,aggregate,56.0,median of responding lenses,aggregate,18.3,34.1,50.0,56.0,58.9,15.0,70.0,mechanism_calendar,actor_incentive,7,0,3,trigger,n/a
Q0011,2026-08-26,aggregate,72.0,median of responding lenses,aggregate,43.2,63.5,72.0,72.0,80.5,58.0,20.0,literalist,actor_incentive,7,0,3,creation,n/a
Q0012,2026-08-26,aggregate,6.0,median of responding lenses,aggregate,4.0,5.0,6.0,6.0,1.6,10.0,15.0,telltale,analogy,7,0,3,creation,n/a
Q0013,2026-08-26,aggregate,30.0,median of responding lenses,aggregate,25.0,31.1,34.0,30.0,21.9,8.0,30.0,literalist,reference_class,7,0,3,creation,n/a
Q0014,2026-08-27,aggregate,36.0,median of responding lenses,aggregate,25.0,30.0,36.0,36.0,29.7,18.0,50.0,telltale,blocker,7,0,3,creation,n/a
Q0015,2026-08-27,aggregate,55.0,median of responding lenses,aggregate,15.0,26.5,37.0,55.0,57.5,35.0,53.0,mechanism_calendar,blocker,7,0,3,creation,n/a
Q0001,2026-08-28,aggregate,18.0,median of responding lenses,aggregate,15.0,17.5,25.0,18.0,9.3,8.0,28.0,telltale,literalist,7,0,3,refresh,n/a
Q0002,2026-08-28,aggregate,55.0,median of responding lenses,aggregate,25.0,30.0,32.0,55.0,57.5,28.0,52.0,mechanism_calendar,actor_incentive,7,0,3,refresh,n/a
Q0003,2026-08-28,aggregate,72.0,median of responding lenses,aggregate,68.0,70.0,72.0,72.0,80.5,58.0,23.0,reference_class,actor_incentive,7,0,3,trigger,n/a
Q0009,2026-08-28,aggregate,51.0,median of responding lenses,aggregate,20.0,45.0,55.0,51.0,51.5,25.0,40.0,reference_class,mechanism_calendar,7,0,3,trigger,n/a
Q0004,2026-08-29,aggregate,15.0,median of responding lenses,aggregate,6.1,10.1,12.0,15.0,6.9,2.0,24.0,mechanism_calendar,analogy,7,0,3,refresh,n/a
Q0005,2026-08-29,aggregate,55.0,median of responding lenses,aggregate,,,53.0,55.0,57.5,20.0,75.0,mechanism_calendar,actor_incentive,7,0,3,trigger,n/a
Q0014,2026-08-29,aggregate,38.0,median of responding lenses,aggregate,18.0,21.2,30.0,38.0,32.4,20.0,51.0,literalist,actor_incentive,7,0,3,trigger,n/a
