tag,first_seen,proposed_for_question,nearest_existing,model_justification
bilateral_treaties,2026-08-22,Will India and Bangladesh sign a successor agreement to the 1996 Ganga Water Treaty on or before 31 December 2026?,"iran_conflict, russia_ukraine_war, israel_palestine","The proposed tag covers bilateral resource management and diplomatic agreements, which are distinct from trade tariffs, security alliances, or the specific regional tensions of the India-Pakistan context."
regional_security,2026-08-22,Will India and Bangladesh sign a successor agreement to the 1996 Ganga Water Treaty on or before 31 December 2026?,"iran_conflict, russia_ukraine_war, israel_palestine","The proposed tag 'regional_security' describes transboundary resource management and bilateral diplomacy, which does not fit the military alliance, maritime transit, or sanctions-focused nature of the existing tags."
higher_education_policy,2026-08-22,Will the U.S. Education Department formally revoke the American Bar Association's (ABA) authority to accredit law schools on or before 31 December 2026?,"iran_conflict, russia_ukraine_war, israel_palestine","The proposed tag relates to the regulatory oversight of professional accreditation bodies, which does not align with the specific domains of immigration, manufacturing, AI, climate, or energy policy."
administrative_state,2026-08-22,Will the U.S. Education Department formally revoke the American Bar Association's (ABA) authority to accredit law schools on or before 31 December 2026?,"iran_conflict, russia_ukraine_war, israel_palestine","The proposed tag refers to federal administrative oversight and regulatory authority, which does not fit the scope of state-level politics, fiscal policy, or inter-state conflict defined by the existing tags."
legal_profession,2026-08-22,Will the U.S. Education Department formally revoke the American Bar Association's (ABA) authority to accredit law schools on or before 31 December 2026?,"iran_conflict, russia_ukraine_war, israel_palestine","The proposed tag 'legal_profession' pertains to professional regulatory oversight and accreditation, which does not align with the geopolitical, military, or state-federal constitutional conflicts represented by the existing tags."
monetary_policy_transmission,2026-08-25,Will the United Forum of Bank Unions (UFBU) initiate an indefinite strike on or before 26 October 2026?,"iran_conflict, russia_ukraine_war, israel_palestine","The proposed tag 'monetary_policy_transmission' refers to the mechanism by which central bank actions affect the real economy, whereas the question concerns labor union industrial action, which is unrelated to monetary policy drivers."
canada_us_relations,2026-08-25,"Will the U.S. government implement the 50 percent tariffs on Canadian cars, trucks, and automotive parts on or before 1 January 2027?","iran_conflict, russia_ukraine_war, israel_palestine","The proposed tag relates to bilateral trade policy and economic protectionism, which is distinct from the existing categories focused on immigration, security alliances, or internal state-federal legal disputes."
defense_industrial_base,2026-08-25,Will Ukraine establish a domestic production line for the SCALP/Storm Shadow cruise missile on or before 31 December 2026?,"iran_conflict, russia_ukraine_war, israel_palestine","The proposed tag focuses on the technical and industrial capacity of a nation's defense sector, which is distinct from the policy-driven manufacturing incentives of India, the geopolitical focus of NATO, or the specific regional conflicts listed."
nuclear_nonproliferation,2026-08-26,Will the U.S. Congress pass a joint resolution to block the 30-year nuclear cooperation agreement with Saudi Arabia on or before 26 August 2027?,"iran_conflict, russia_ukraine_war, israel_palestine","While the question involves nuclear diplomacy, it focuses on legislative oversight of bilateral civilian nuclear cooperation agreements rather than the specific regional security conflicts or alliance-based force postures covered by the existing tags."
us_china_relations,2026-08-26,Will the United States impose secondary sanctions on major Chinese banks for purchasing Iranian oil on or before 30 September 2026?,"iran_conflict, russia_ukraine_war, israel_palestine","The proposed tag focuses on US-China geopolitical and financial friction, which is distinct from the specific regional focus of the existing tags (Taiwan, India, or the Korean Peninsula) and does not overlap with domestic US policy issues."
legislative_process,2026-08-27,"Will Taiwan's parliament pass the six-year, T$210 billion special budget for drone procurement on or before 31 December 2026?","iran_conflict, russia_ukraine_war, israel_palestine","The proposed tag 'legislative_process' refers to the legislative dynamics of Taiwan, which is not covered by the existing tags that are exclusively focused on US or Indian political systems."
