date,kind,subject,evidence,suggestion,status
2026-08-26,mis_scoped_lens,mechanism_calendar,audit rejected its reasoning on 40.0% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-26,mis_scoped_lens,actor_incentive,audit rejected its reasoning on 33.3% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-26,mis_scoped_lens,telltale,audit rejected its reasoning on 33.3% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-27,mis_scoped_lens,actor_incentive,audit rejected its reasoning on 35.3% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-27,mis_scoped_lens,mechanism_calendar,audit rejected its reasoning on 35.3% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-27,mis_scoped_lens,telltale,audit rejected its reasoning on 35.3% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-28,mis_scoped_lens,actor_incentive,audit rejected its reasoning on 38.1% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-28,mis_scoped_lens,blocker,audit rejected its reasoning on 33.3% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-28,mis_scoped_lens,telltale,audit rejected its reasoning on 33.3% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-28,mis_scoped_lens,actor_incentive,never abstained across 21 runs,a lens that never abstains may not be exercising judgement,open
2026-08-28,mis_scoped_lens,analogy,never abstained across 21 runs,a lens that never abstains may not be exercising judgement,open
2026-08-28,mis_scoped_lens,blocker,never abstained across 21 runs,a lens that never abstains may not be exercising judgement,open
2026-08-28,mis_scoped_lens,literalist,never abstained across 21 runs,a lens that never abstains may not be exercising judgement,open
2026-08-28,mis_scoped_lens,mechanism_calendar,never abstained across 21 runs,a lens that never abstains may not be exercising judgement,open
2026-08-28,mis_scoped_lens,reference_class,never abstained across 21 runs,a lens that never abstains may not be exercising judgement,open
2026-08-28,mis_scoped_lens,telltale,never abstained across 21 runs,a lens that never abstains may not be exercising judgement,open
2026-08-29,mis_scoped_lens,blocker,audit rejected its reasoning on 41.7% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-29,mis_scoped_lens,actor_incentive,audit rejected its reasoning on 37.5% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-29,mis_scoped_lens,analogy,audit rejected its reasoning on 33.3% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-29,mis_scoped_lens,telltale,audit rejected its reasoning on 33.3% of runs,the forbidden list may overlap this lens's own aperture; check the wording in config/lenses.yaml,open
2026-08-29,mis_scoped_lens,actor_incentive,never abstained across 24 runs,a lens that never abstains may not be exercising judgement,open
2026-08-29,mis_scoped_lens,analogy,never abstained across 24 runs,a lens that never abstains may not be exercising judgement,open
2026-08-29,mis_scoped_lens,blocker,never abstained across 24 runs,a lens that never abstains may not be exercising judgement,open
2026-08-29,mis_scoped_lens,literalist,never abstained across 24 runs,a lens that never abstains may not be exercising judgement,open
2026-08-29,mis_scoped_lens,mechanism_calendar,never abstained across 24 runs,a lens that never abstains may not be exercising judgement,open
2026-08-29,mis_scoped_lens,reference_class,never abstained across 24 runs,a lens that never abstains may not be exercising judgement,open
2026-08-29,mis_scoped_lens,telltale,never abstained across 24 runs,a lens that never abstains may not be exercising judgement,open
